SL,Date of visit,Company Visited,CTC Offered P/A,CST,CST.1,ETC,ETC.1,EE,EE.1,IT,IT.1,ME,ME.1,CE,CE.1,MET,MET.1,MIN,ARC,ARC.1,AERO,AERO.1,PDSI,VLSI,Mat Science,Mechatronics,Geo Informatics,REST,PHYS,MTHS,CHEM,GEOY,Total
,,,Rs. In Lakh,UG,PG,UG,PG,UG,PG,UG,PG (ICE),UG,PG,UG,PG,UG,PG,UG,UG,PG,UG,PG,P G,P G,P G,P G,P G,P G,P G,P G,P G,P G,
46,19 & 20 Jan-2016,Universal,N.A,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,
47,19 & 20 Jan-2016,Aircon,3L,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
48,19 & 20 Jan-2016,Voltas,3.25L,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
49,19 & 20 Jan-2016,Tapp Engg.,1.2L,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
50,2016-01-21 00:00:00,Rice Group,6L,0,,1,,3,,0,,3,,,,0,,0,,,,,,,,0,0,,,2,5,,14.0
51,2016-01-22 00:00:00,Tata Blue Scope,4.8L,,,0,,1,,,,1,,,,0,,,,,,,,,,,,,,,,,2.0
52,2016-02-03 00:00:00,Infoway,1.8L,1,,0,,0,,0,0,0,,,,,,,,,,0,,0,,,,,,,,,1.0
53,2016-02-04 00:00:00,E-Tutor,2.5L,0,,0,,0,0,0,0,0,0,0,,0,,0,,,0,0,,0,0,0,0,,1,0,0,,1.0
54,2016-02-08 00:00:00,Lexmark,5L,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
55,2016-02-11 00:00:00,m-Junction,4L,5,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,6.0
56,2016-02-16 00:00:00,Britannia,4.5L,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1.0
57,29.02.16 & 1.03.16,Coal India Ltd.,10.1L,2,,2,,5,,,,6,,5,,,,5,,,,,,,,,,,,,,,25.0
58,2016-03-03 00:00:00,ITD Cementation,2.92L,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,6.0
59,2016-03-03 00:00:00,Voith Paper,4.5L,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.0
