SL,Date of visit,Company Visited,CTC Offered P/A,CST,CST.1,ETC,ETC.1,EE,EE.1,IT,IT.1,ME,ME.1,CE,CE.1,MET,MET.1,MIN,MIN.1,ARC,ARC.1,AERO,AERO.1,VLSI,Mat Science,Mechatronics,Food Proc.,REST,Safety,PHYS,MTHS,CHEM,MBA,HSCI,Total
,,,Rs. In Lakh(p/a),UG,PG,UG,PG,UG,PG,UG,PG (ICE),UG,PG,UG,PG,UG,PG,UG,PG,UG,PG,UG,PG,P G,P G,P G,P G,P G,P G,P G,P G,P G,P G,P G,
43.0,2017-01-18 00:00:00,Reve System,6.6,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2.0
44.0,2017-01-24 00:00:00,Techno Electric,3,,,,,3,,,,,,0,,,,,,,,,,,,,,,,,,,,,3.0
45.0,2017-01-30 00:00:00,M Junction,5,0,,0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2.0
46.0,2017-01-31 00:00:00,Otis Elevator,5,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,3.0
47.0,2017-02-06 00:00:00,C V R C E,4.2,,1,,0,,0,,1,,1,,1,,,,0,,,,0,1,0,1,,,,,,,,,6.0
48.0,2017-02-08 00:00:00,Bridge & Roof,4,,,,,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,5.0
49.0,2017-02-16 00:00:00,Adobe,20,0,0,0,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,0.0
50.0,2017-02-18 00:00:00,Zycus,6,0,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,0.0
51.0,"3,6,7,8 -Mar-2017",Vawsum,N.A,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
52.0,2017-03-10 00:00:00,Wacker,4.26,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,1.0
53.0,2017-03-18 00:00:00,Stup Consultant,N.A,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1.0
54.0,2017-03-22 00:00:00,Sankalp Semiconductor,5,,,2,0,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,2.0
55.0,2017-03-24 00:00:00,Wedoria,3.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
56.0,2017-03-27 00:00:00,Voith Paper Technologies,4,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1.0
57.0,2017-04-12 00:00:00,Simplex Infra,2.6,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,5.0
58.0,2017-04-13 00:00:00,TIL Ltd.,N.A,,,,,√,,,,√,,,,,,,,,,,,,,,,,,,,,,,
59.0,2017-04-17 00:00:00,India Power Corp. Ltd.,5.5,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,1.0
60.0,2017-05-12 00:00:00,Titagarh Wagons Ltd.,N.A,,,,,,,,,√,,,,,,,,,,,,,,,,,,,,,,,
61.0,2017-05-24 00:00:00,ITD Cementation,3.1,,,,,,,,,,,√,,,,,,,,,,,,,,,,,,,,,
62.0,2017-06-14 00:00:00,Jacobs,N.A,,,,,,,,,,,√,,,,,,,,,,,,,,,,,,,,,
63.0,15 & 16-Jun-17,Primetals Technology,N.A,,,,,√,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.0,2017-06-21 00:00:00,E-tech Global Services,N.A.,√,,√,,,,√,,,,,,,,,,,,,,,,,,,,,,,,,
