SL,Company Visited,Type of Offer,Eligible Students,Applied Students,Status,Annual CTC ( As per available information ),CST,CST.1,ETC,ETC.1,ETC.2,EE,EE.1,EE.2,IT,IT.1,IT.2,ME,ME.1,CE,CE.1,CE.2,MET,MET.1,MIN,MIN.1,ARC,ARC.1,AERO,AERO.1,VLSI,Mat Science,Mechatronics,Foo d Proc.,REST,Bio - Medical,Safety,Phys,Mths,Chem,MBA,Earth Science,Total
,,,,,,Rs. In Lakh(p/a),U G,P G,U G,D D,P G,U G,D D,P G,U G,D D,P G,U G,P G,U G,D D,P G,U G,P G,U G,P G,U G,P G,U G,"A M P
G",PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,
37.0,Vedanta- Cairn Oil & Gas,Core Engineering,266,202.0,Offered,6.5,,,,,,0,0,0,,,,0,0,0,0,0,1,1,0,0,,,,0,,,,,,,,,,,,,2.0
38.0,PriceWaterhouse Coopers,Consulting,144,120.0,Offered,8.44,2,,4,,,6,,,1,,,9,,,,,,,,,,,,,,,,,,,,,,,,,22.0
39.0,DCG Data Core Systems Pvt. Ltd.,Data Analytics,25,12.0,Pending,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.0
40.0,Tata Steel BSL Ltd.,Core Engineering,82,58.0,Offered,5,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,4.0
41.0,IFB Industries Ltd.,Core Engineering,137,86.0,Pending,4.5,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0
42.0,Electrosteel Casting Ltd. (Civil),Core Engineering,47,36.0,Offered,4.5,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2.0
43.0,Intuit India,Software,89,72.0,Completed,26.3,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
44.0,Hexaware Technologies,Software,Off Campus,,Offered,3.5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
45.0,BNY Mellon,Data Analytics,Off Campus,,Offered,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
46.0,Google (SWE),Software,Off Campus,,Offered,31.5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
47.0,Tata Steel Long Products Ltd.,Core Engineering,126,73.0,Offered,3.68,,,,,,1,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,4.0
48.0,Aakash Institute,Other,591,348.0,Offered,7.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,0,0,,0,0,,,,0,,,,0,0,0,,0,2.0
49.0,TCS R&I  CTO,R & D,391,271.0,Offered,11.5,2,0,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,0,,,,,,0,,,,4.0
50.0,Media.Net,Software,621,235.0,Completed,29.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,,,,,,0.0
51.0,AM/NS India,Core Engineering,119,95.0,Offered,5,,,,,,1,,0,,,,0,,,,,2,,,,,,,,,,,,,,,,,,,,3.0
52.0,Wipro Ltd,ITES,131,67.0,Pending,3.5,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
53.0,Haldia petrochemicals Ltd.,Core Engineering,88,67.0,Offered,4.64,,,,,,0,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2.0
54.0,Zycus,Developer,567,325.0,Pending,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,,,0,,0.0
55.0,HomeLane.Com,Design,6,4.0,pending,4.8,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.0
56.0,Pumpsense Fluid Engineering Pvt. Ltd.,Core Engineering,42,20.0,Offered,4.2,,,,,,,,,,,,0,0,,,,,,,,,,,1,,,,,,,,,,,,,1.0
57.0,Tata Steel Ltd. (Electrical),Core Engineering,60,55.0,Offered,10.53,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
58.0,Ericsson India Global Services,Consulting,89,68.0,Offered,6.5,0,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
59.0,Schneider Electric,Operation,44,30.0,Offered,4.75,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
60.0,Tata Steel Ltd. (Systems),Software,54,39.0,Offered,9.22,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
61.0,WSP,Core Engineering,13,10.0,Offered,5.25,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2.0
62.0,Byju's,Developer,641,263.0,Pending,5.0-10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
63.0,Vedanta Ltd.,Core Engineering,188,140.0,Offered,7.95,,,,,,,,,,,,2,0,5,0,0,3,0,,,,,,,,,,,,,,,,,,,10.0
64.0,CGI Information Systems,Software,299,194.0,Offered,6.8,0,,4,0,,1,0,,7,0,,1,,1,0,,0,,2,,,,0,,,,,,,,,,,,,,16.0
65.0,Commvault Systems,Software,130,95.0,Offered,20-24,0,,0,0,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
66.0,Navigator Software,ITES,38,19.0,Offered,4,0,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
67.0,Vedanta Ltd. (Mining),Core Engineering,24,20.0,Offered,7.95,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2.0
68.0,Ernst & Young Services Pvt. Ltd.,Consulting,105,54.0,Offered,4.37,0,,1,,,1,,,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,4.0
69.0,CEAT Ltd.,Core Engineering,190,114.0,Offered,6,0,,0,,,1,,,0,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,1.0
70.0,Tata Power,Core Engineering,227,164.0,Offered,6.06,0,,0,,,2,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,2.0
71.0,Haldia petrochemicals Ltd. (CST),Software,26,6.0,Offered,4.67,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
72.0,Aditya Birla Group,Core Engineering,55,53.0,Offered,6.6,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,3.0
73.0,Indus Net Technologies,Developer,15,11.0,Pending,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0
74.0,Polestar Solutions Pvt. Ltd.,Consulting,275,126.0,Pending,5.8,0,,0,,,0,,,0,,,0,,0,,,0,,0,,,,0,,,,,,,,,,,,,,0.0
75.0,Texmaco Rail & Engineering Ltd.,Core Engineering,140,64.0,Pending,3.54,,,,,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,0.0
76.0,Maruti Suzuki India Ltd.,Core Engineering,30,23.0,Completed,8.4,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
77.0,Gainwell Commosales Pvt. Ltd.,Core Engineering,15,11.0,Completed,5.5,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0.0
78.0,HCL Technologies Ltd. (GET),ITES,39,11.0,Offered,3.5,0,,1,,,1,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,2.0
79.0,HCL Technologies Ltd. (PGET),Consulting,82,42.0,Offered,4.75,,5,,,0,,,0,,,5,,,,,,,,,,,,,,0,,0,,,,,,,,,,10.0
80.0,CESC Ventures Ltd.,Software,11,4.0,Pending,N.A,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
81.0,Cadence Design Systems Ltd. (B.Tech),Software,90,49.0,Offered,9.92,2,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
82.0,Cadence Design Systems Ltd. (DD & M.Tech),Software,29,22.0,Pending,12.15,,0,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
83.0,ITD Cementation India Ltd.,Core Engineering,64,38.0,Offered,3.6,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,4.0
84.0,Bajaj Auto Ltd.,Core Engineering,64,48.0,Pending,9.08,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
85.0,Institute of Engineering & management,Other,24,16.0,Offered,4.01,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
86.0,Electrosteel Casting Ltd. (Metallurgy),Core Engineering,15,11.0,Pending,N.A,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0.0
87.0,BTL EPC Limited (Unit of Shrachi Group),Core Engineering,63,28.0,Pending,3,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0.0
88.0,Tata Steel Utilities & Infrastructure Services Limited,Core Engineering,122,91.0,Offered,6.4,,,,,,0,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,1.0
89.0,Senrysa Technologies Pvt. Ltd.,Software,60,31.0,Pending,5,0,0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
90.0,Saint Gobain India,Core Engineering,42,32.0,Pending,6.3,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,0.0
91.0,Vikram Solar Pvt. Ltd.,Core Engineering,59,47.0,Offered,N.A,,,1,,0,0,,0,,,,0,0,,,0,0,,0,,,,,,,0,0,,0,,,,,,,,1.0
92.0,Media.Net (SRE),Software,321,165.0,Offered,15.77,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
93.0,CESC Ltd. (Civil Engg.),Core Engineering,33,20.0,Offered,8.45,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1.0
94.0,SMS India Pvt. Ltd.,Core Engineering,45,20.0,Pending,4.5,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
95.0,Capgemini (T202),Consulting,490,243.0,Offered,6.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,1.0
96.0,Maheswari Mining Pvt. Ltd.,Core Engineering,52,15.0,Pending,3,,,,,,,,,,,,0,,,,,,,1,,,,,,,,,,,,,,,,,,1.0
97.0,Lexmark International Pvt. Ltd.,Software,52,42.0,Offered,7.5,2,,2,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,7.0
98.0,SRK Mining Services (India) Pvt. Ltd.,Core Engineering,15,5.0,Pending,4.2,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0.0
99.0,Tega Industries,Core Engineering,31,19.0,Offered,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,4.0
100.0,FermionIC Design Pvt. Ltd.,Core Engineering,138,101.0,Pending,12.05,0,,1,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1.0
101.0,Synopsys India Pvt. Ltd. (ASIC Digital Design),Core Engineering,131,95.0,Offered,11.5,,,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1.0
102.0,Cadence Design,Software,184,110.0,Pending,14,0,0,0,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
