SL,Date of visit,Company Visited,Status,"CTC
Offered P/A",CST,CST.1,ETC,ETC.1,EE,EE.1,IT,IT.1,ME,ME.1,CE,CE.1,MET,MET.1,MIN,MIN.1,ARC,ARC.1,AERO,AERO.1,VLSI,Mat Science,Mechatronics,Food Proc.,REST,Bio-Medical,PHYS,MTHS,CHEM,MBA,HSCI,Total
,,,,Rs. In Lakh(p/a),UG,PG,UG,PG,UG,PG,UG,PG (ICE),UG,PG,UG,PG,UG,PG,UG,PG,UG,PG,UG,PG,P G,P G,P G,P G,P G,P G,P G,P G,P G,P G,P G,
43.0,2017-12-15 00:00:00,Tata Project,Offered,4.75,,,,,2,,,,1,,0,,,,,,,,,,,,,,,,,,,,,3.0
44.0,,Kovair Software,Under Process,3,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
45.0,12/20.12.2017,Cognizant,Offered,6.5,3,1,2,0,0,0,6,0,0,0,1,0,0,,0,,,,3,0,0,0,0,,0,0,,,,,,16.0
46.0,2017-12-07 00:00:00,Haldia Petrochemicals,Offered,6.6,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,2.0
47.0,2017-11-22 00:00:00,Wacker,Completed,5,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0.0
48.0,,Microsoft IDC,Offered,22,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2.0
49.0,2017-12-11 00:00:00,Polestar Solution,Under Process,5.25,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,,,,,,,,,,,,0.0
50.0,2017-12-18 00:00:00,tute of Engineering & Manage,Offered,14,0,1,,1,,2,0,1,,0,,1,,,,,,,,0,1,,1,,,,0,1,0,,,9.0
51.0,2017-12-13 00:00:00,AI Labs,Offered,3,0,2,,,,,0,0,,,,,,,,,,,,,,,,,,,,1,,,,3.0
52.0,,Jacobs,Offered,3.6,,,,,0,0,,,1,,0,0,,,,,,,,,,,,,,,,,,,,1.0
53.0,2017-12-19 00:00:00,International Combustion,Offered,6,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2.0
54.0,19/21.12.2017,Tata Steel Ltd.(Systems),Offered,8.8,3,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,3.0
55.0,2017-12-22 00:00:00,Tega Industries,Offered,4,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,3.0
56.0,,Cogitate Technology,Under Process,6,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
57.0,2018-01-12 00:00:00,DX Corr,Offered,4.2,1,0,1,0,1,,1,1,,,,,,,,,,,,,6,,,,,,,,,,,11.0
58.0,,Prototech Software,Under Process,6.5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,,,,,,,,,0.0
59.0,,Greaves Cotton Limited,Under Process,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0.0
60.0,2018-01-11 00:00:00,Tata Steel Ltd.(Technical),Offered,10.11,,,,,2,,,,4,,,,,,,,,,,,,,,,,,,,,,,6.0
61.0,2018-01-09 00:00:00,GPT Group,Offered,4.3,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,3.0
62.0,2018-01-10 00:00:00,Simplex Infra,Offered,3,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,6.0
63.0,2018-01-16 00:00:00,Eptisa,Offered,4.5,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,3.0
64.0,2018-02-24 00:00:00,C V Raman College,Under Process,4.5,,0,,0,,0,,0,,0,,0,,,,,,,,,0,,0,,0,,,,,,,0.0
65.0,2018-01-16 00:00:00,Tejas Networks Ltd.,Completed,8.3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
66.0,2018-02-16 00:00:00,Tata Bluescope Steel,Offered,4.2,,,,,1,,,,0,,,,0,,,,,,,,,,,,,,,,,,,1.0
67.0,2018-02-05 00:00:00,Cirel Systems,Offered,11,,,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
68.0,2018-01-29 00:00:00,Britannia Industries,Offered,4.5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1.0
69.0,2018-02-15 00:00:00,Zycus,Under Process,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,,0,0,,,,0,,0.0
70.0,,HSBC Software Development,Under Process,12,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,0.0
71.0,2018-02-01 00:00:00,Tata Tinplate,Offered,4.87,,,0,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,4.0
72.0,,Tata Communications,Under Process,3.8,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
