SL,Company Visited,Type of Offer,Eligible Students,Applied Students,Status,Annual CTC Offered,CST,CST.1,ETC,ETC.1,ETC.2,EE,EE.1,EE.2,IT,IT.1,IT.2,ME,ME.1,ME.2,CE,CE.1,CE.2,MET,MET.1,MET.2,MIN,MIN.1,ARC,ARC.1,AERO,AERO.1,VLSI,Mat Science,Mechatronics,Food Proc.,REST,Bio - Medical,Safety,Phys,Mths,Chem,MBA,Earth Science,Total
,,,,,,"Rs. In
Lakh(p/a)",UG,PG,UG,DD,PG,UG,DD,PG,UG,DD,PG,UG,DD,PG,UG,DD,PG,UG,DD,PG,UG,PG,UG,PG,UG,PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,
108.0,Gainwell Commosales Pvt. Ltd.,Core Engineering,75,39,Offered,5.5,,,,,,2,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,4.0
109.0,Lexmark International,Software,233,34,Pending,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,,,,,,0.0
110.0,Price Waterhouse Coopers (2),Consulting,108,43,Pending,8.41,0,0,0,,,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
111.0,Celeriac Technologies Pvt. Ltd.,Development,149,25,Pending,4.2,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,,,,,,,,,,,,0.0
112.0,MCPI Pvt. Ltd.,Core Engineering,100,27,Pending,4.5,,,0,,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,0.0
113.0,Quantiphi,Core Engineering,N.A,N.A,Pending,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,,,,,,0.0
114.0,Paycraft Solutions Pvt. Ltd.,Software,57,,Pending,7,0,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Offers as on 31.10.2020,,,,,,88,17,49,7,9,62,4,5,77,0,2,45,0,8,54,10,1,16,0,1,20,2,0,0,14,0,2,1,0,0,1,0,1,1,0,0,17,0,514.0
,NO. OF COMPANY VISITED FOR DIFFERENT BRANCHES,,,,,,60,28,50,21,21,57,21,18,53,24,25,48,13,13,36,13,12,27,11,9,24,10,4,2,18,11,12,9,11,2,8,9,9,3,5,2,11,1,
,ELIGIBLE / INTERESTED BATCH SIZE,,,,,,71,12,46,10,9,68,12,15,61,1,4,64,2,23,73,30,28,25,2,6,20,16,11,5,26,13,13,7,11,11,16,7,7,13,13,15,21,23,
