SL,Date of visit,Company Visited,Involved Branches,CST,CST.1,ETC,ETC.1,EE,EE.1,IT,IT.1,ME,ME.1,CE,CE.1,MET,MET.1,MIN,MIN.1,ARC,ARC.1,AERO,AM,ICE,VLSI,Mat Engg,Mechatronics,PHYS,MTHS,CHEM,GEOY,Total
,,,,UG,PG,UG,PG,UG,PG,UG,PG,UG,PG,UG,PG,UG,PG,UG,PG,UG,PG,UG,PG,PG,PG,PG,PG,PG,PG,PG,PG,
41.0,2015-02-05 00:00:00,Tata Hitachi,ME (UG),,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0.0
42.0,2015-02-06 00:00:00,ITD Cementation,CE (UG),,,,,,,,,,,4,,,,,,,,,,,,,,,,,,4.0
43.0,2015-02-16 00:00:00,Reve Systems,CST / IT (UG),3,,,,,,0,,,,,,,,,,,,,,,,,,,,,,3.0
44.0,2015-02-17 00:00:00,Paharpur Cooling Tower,"CE, ME (UG)",,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,0.0
45.0,2015-02-17 00:00:00,Coffee-day Beverages,"ETC, EE, ME (UG)",,,0,,1,,,,1,,,,,,,,,,,,,,,,,,,,2.0
46.0,2015-02-25 00:00:00,JCAPCPL,Met (UG),,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.0
47.0,2015-03-02 00:00:00,HPCL,"ee, me (ug)",,,,,2,,,,3,,,,,,,,,,,,,,,,,,,,5.0
48.0,2015-03-03 00:00:00,Electro Steel Castings,"EE, ME, Met (UG)",,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,0.0
49.0,2015-03-10 00:00:00,Fi-Tek,"CST, ETC, IT (UG)",0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0.0
50.0,2015-03-12 00:00:00,Voith Paper,"ME,EE,ETC (UG)",,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,0.0
51.0,2015-03-26 00:00:00,PWC (2),"CST,ETC,EE,IT,ME,Met(UG) IT, ME (PG)",0,,2,,1,,0,,1,,,,0,,,,,,,,,,,,,,,,4.0
52.0,2015-04-15 00:00:00,Kovair,"CST, IT (UG)",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.0,21-22-May-15,Punj Lloyd,"ME, CE (UG)",,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,
54.0,2015-05-03 00:00:00,Vikrant Forge,ME (UG),,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,
55.0,2015-05-04 00:00:00,CapitalVia,"etc, ee (ug)",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,Total No.of Offer,s  ( UG + PG,84,17,67,5,48,5,56,3,41,4,63,2,30,1,31,0,7,0,16,0,14,11,1,1,0,0,0,0,507.0
